Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
BAKED GOODS,380.0,social gathering,480.0,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,
Vegetables,250.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Dairy Products,250.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Baked Goods,240.0,Wedding,450.0,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,20.0
Dairy Products,453.0,Corporate,484.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,54.0
Dairy Products,380.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
Baked Goods,380.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Vegetables,220.0,Social Gathering,300.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Fruits,270.0, Social Gathering ,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Dairy Products,280.0,social gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,24.0
Baked Goods,208.0,Social Gathering,282.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,22.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Dairy Products,342.0,Social Gathering,405.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29.0
Dairy Products,,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30.0
Dairy Products,310.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35.0
Baked Goods,380.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Baked Goods,434.0,Social Gathering,495.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36.0
Meat,284.0,Wedding,443.0,Refrigerated,Regular,Summer,Buffet,Urban,Low,32.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,Summer,Buffet,Urban,Low,10.0
Meat,250.0,Wedding,480.0,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20.0
Meat,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Meat,300.0,Corporate,400.0,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,20.0
Meat,400.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,
Meat,400.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Fruits,310.0,Corporate,350.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,35.0
Meat,400.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Meat,207.0,Corporate,280.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,20.0
Fruits,380.0,Wedding,500.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,
Meat,302.0,Social Gathering,371.0,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27.0
Dairy Products,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,10.0
Baked Goods,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Vegetables,,Birthday,450.0,refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Fruits,220.0,Wedding,300.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,15.0
Vegetables,300.0,Birthday,400.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,15.0
Meat,300.0,SOCIAL GATHERING,450.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35.0
Fruits,250.0,Corporate,350.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Vegetables,350.0,Wedding,,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Fruits,442.0,Wedding,482.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,300.0,Wedding,400.0,room temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Dairy Products,310.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,35.0
Baked Goods,275.0,Wedding,388.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,16.0
Fruits,310.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,35.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15.0
Dairy Products,380.0,Wedding,480.0,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30.0
Dairy Products,491.0,Wedding,497.0,Room Temperature,Occasional,Summer,Finger Food,Rural,High,32.0
Dairy Products,250.0, Birthday ,350.0,Room Temperature,Occasional,Winter,Buffet,Rural,Moderate,
Vegetables,250.0,Corporate,350.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40.0
Fruits,220.0,Corporate,300.0,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,
Fruits,320.0,Birthday,,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
FRUITS,300.0,Corporate,400.0,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Moderate,25.0
Baked Goods,250.0,Corporate,350.0,ROOM TEMPERATURE,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Meat,,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Meat,208.0,Social Gathering,282.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,22.0
Baked Goods,,Corporate,493.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,35.0
Vegetables,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20.0
Baked Goods,207.0,Corporate,280.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,20.0
Vegetables,453.0,Social Gathering,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54.0
Baked Goods,380.0,Social Gathering,480.0,room temperature,Regular,Summer,Buffet,Suburban,Moderate,30.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Vegetables,280.0,Corporate,350.0,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20.0
Dairy Products,400.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,40.0
Dairy Products,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
BAKED GOODS,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20.0
Dairy Products,250.0,Corporate,1130.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Vegetables,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,20.0
Dairy Products,342.0,Social Gathering,405.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29.0
Vegetables,400.0,Corporate,500.0,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50.0
Dairy Products,300.0,birthday,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Dairy Products,491.0,Social Gathering,497.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32.0
Dairy Products,280.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Dairy Products,380.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,300.0,Social Gathering,400.0,ROOM TEMPERATURE,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Dairy Products,230.0,corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Meat,300.0,Wedding,,Refrigerated,Regular,Summer,Buffet,Suburban,High,40.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20.0
Meat,302.0,Wedding,371.0,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,27.0
vegetables,472.0,Birthday,489.0,Refrigerated,Regular,Summer,Buffet,Urban,Low,36.0
Meat,300.0,corporate,400.0,Refrigerated,Occasional,Winter,Buffet,Suburban,High,40.0
Vegetables,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Buffet,Suburban,Low,10.0
Meat,290.0,Corporate,374.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,27.0
Meat,434.0,Corporate,495.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,36.0
Fruits,280.0,Corporate,350.0,REFRIGERATED,Occasional,Summer,Finger Food,Urban,Low,15.0
fruits,400.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45.0
MEAT,350.0,Wedding,450.0,REFRIGERATED,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30.0
vegetables,350.0,Wedding,1130.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,35.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25.0
Vegetables,280.0,Wedding,350.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20.0
Fruits,302.0,Corporate,371.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,22.0
Meat,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,10.0
Meat,280.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20.0
Meat,320.0,BIRTHDAY,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Fruits,250.0,Corporate,,Room Temperature,Regular,Winter,Buffet,Urban,Low,10.0
Meat,380.0,Birthday,480.0,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,30.0
Meat,380.0,Corporate,480.0,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30.0
Meat,280.0,Corporate,350.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20.0
Vegetables,434.0,Corporate,495.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,
Meat,400.0,Birthday,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20.0
Vegetables,320.0,Social Gathering,480.0,Refrigerated,Occasional,Winter,Buffet,Rural,High,40.0
Baked Goods,442.0, Wedding ,482.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,32.0
Vegetables,,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35.0
Vegetables,280.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,380.0,Birthday,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
 Fruits ,,Corporate,470.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Vegetables,320.0, Corporate ,400.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Meat,261.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,24.0
Fruits,300.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Vegetables,400.0,Birthday,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,25.0
Fruits,220.0,social gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15.0
Baked Goods,400.0,Birthday,500.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,40.0
Dairy Products,320.0, Social Gathering ,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Fruits,,Social Gathering,480.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Vegetables,280.0,Wedding,480.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,15.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,20.0
Fruits,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,290.0,Social Gathering,374.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27.0
Fruits,320.0,Birthday,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Dairy Products,250.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Fruits,261.0,Birthday,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
BAKED GOODS,,Birthday,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Vegetables,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Baked Goods,380.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,397.0,Corporate,482.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31.0
Dairy Products,350.0, Wedding ,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Dairy Products,220.0,Birthday,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Vegetables,250.0,Birthday,350.0,REFRIGERATED,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,220.0,Corporate,300.0,ROOM TEMPERATURE,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Meat,,Wedding,393.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,24.0
Meat,280.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,20.0
Fruits,220.0,Corporate,300.0,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,15.0
Vegetables,280.0,Birthday,350.0,refrigerated,Regular,Winter,Finger Food,Rural,Low,20.0
Vegetables,250.0,Corporate,350.0,refrigerated,Regular,Winter,Finger Food,Rural,High,30.0
Baked Goods,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Dairy Products,300.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35.0
Fruits,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,292.0,Social Gathering,470.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Fruits,220.0,Wedding,300.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,367.0,Birthday,420.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,40.0
Vegetables,220.0,Birthday,300.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15.0
Fruits,300.0, Birthday ,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Vegetables,250.0,Corporate,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Dairy Products,300.0,Corporate,400.0, Room Temperature ,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,250.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,240.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,15.0
Meat,,Birthday,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Baked Goods,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15.0
Fruits,280.0,Birthday,350.0,REFRIGERATED,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Fruits,250.0,Wedding,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30.0
Vegetables,230.0,Corporate,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,20.0
Fruits,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35.0
 Baked Goods ,300.0,Birthday,450.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,35.0
Meat,280.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Vegetables,208.0,Corporate,282.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,
Vegetables,208.0,Wedding,282.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Rural,Moderate,22.0
Baked Goods,300.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Dairy Products,302.0,Corporate,,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27.0
Baked Goods,380.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Baked Goods,367.0,Social Gathering,420.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,40.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Vegetables,350.0,Wedding,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Meat,280.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15.0
Vegetables,280.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,20.0
Dairy Products,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,
Baked Goods,310.0,Social Gathering,350.0, Room Temperature ,Regular,Summer,Finger Food,Rural,High,
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Dairy Products,400.0,Wedding,350.0,ROOM TEMPERATURE,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,310.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35.0
Fruits,250.0,Social Gathering,350.0,room temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,220.0,Social Gathering,300.0, Room Temperature ,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,300.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35.0
Dairy Products,270.0,Corporate,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Baked Goods,380.0,Social Gathering,500.0,room temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,
Dairy Products,434.0,Social Gathering,495.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,36.0
baked goods,350.0,Birthday,450.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,434.0,Corporate,495.0,room temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Dairy Products,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Baked Goods,320.0,social gathering,400.0, Room Temperature ,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,765.0,Social Gathering,,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Baked Goods,438.0,Social Gathering,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Meat,280.0,Birthday,350.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,20.0
Meat,320.0,Birthday,,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Fruits,400.0,Corporate,,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Meat,292.0,Birthday,470.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Meat,220.0,Corporate,300.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
Fruits,280.0,Corporate,480.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
baked goods,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Buffet,Rural,High,30.0
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Buffet,Urban,High,40.0
Fruits,439.0,Social Gathering,459.0,Refrigerated,Regular,Summer,Buffet,Suburban,Low,26.0
Fruits,400.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,50.0
Fruits,400.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40.0
Fruits,367.0,Social Gathering,420.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,40.0
Fruits,380.0,Wedding,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25.0
Vegetables,250.0,Wedding,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Vegetables,380.0,Wedding,400.0,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25.0
Baked Goods,250.0,Wedding,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,35.0
Meat,400.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,High,45.0
Meat,380.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Meat,400.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,45.0
Fruits,350.0,Corporate,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Vegetables,250.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Vegetables,400.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,40.0
Fruits,400.0,Birthday,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20.0
Meat,280.0,Corporate,350.0,REFRIGERATED,Occasional,All Seasons,Finger Food,Suburban,Moderate,20.0
Fruits,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Meat,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25.0
Baked Goods,,Corporate,,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,
Vegetables,300.0,Birthday,400.0,ROOM TEMPERATURE,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Vegetables,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Fruits,220.0,Corporate,300.0,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15.0
Fruits,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Dairy Products,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15.0
baked goods,400.0,Birthday,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Dairy Products,220.0,Birthday,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,
BAKED GOODS,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
dairy products,434.0,Corporate,495.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36.0
Baked Goods,765.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Baked Goods,400.0,Social Gathering,500.0, Room Temperature ,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,250.0,Corporate,,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Baked Goods,350.0,Birthday,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,453.0,Social Gathering,484.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,54.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
